accession	accession.version	taxid	gi
X13836	X13836.1	6183	10162
Z11167	Z11167.1	7227	10169
X15619	X15619.1	6183	10189
X15620	X15620.1	6183	10190
X15621	X15621.1	6183	10191
X15622	X15622.1	6183	10192
X15618	X15618.1	6183	10193
X61749	X61749.1	5950	10194
X61748	X61748.1	5950	10195
X01002	X01002.1	7693	10196
X05234	X05234.1	6610	10197
V01351	V01351.1	7668	10201
X00319	X00319.1	7668	10202
X00320	X00320.1	7668	10203
X00321	X00321.1	7668	10204
X00322	X00322.1	7668	10205
X00323	X00323.1	7668	10206
V01352	V01352.1	7668	10218
X03555	X03555.1	7668	10219
X03554	X03554.1	7668	10220
X01061	X01061.1	7668	10223
X00146	X00146.1	7668	10228
X00150	X00150.1	7668	10230
X06640	X06640.1	7668	10238
X14509	X14509.1	7668	10245
X04523	X04523.1	7668	10255
X07249	X07249.1	7668	10259
X07250	X07250.1	7668	10260
X07251	X07251.1	7668	10261
X07252	X07252.1	7668	10262
X07253	X07253.1	7668	10263
X05413	X05413.1	7668	10264
X05415	X05415.1	7668	10266
X05416	X05416.1	7668	10267
X05417	X05417.1	7668	10268
X56844	X56844.1	7668	10269
X16659	X16659.1	7386	10271
V01358	V01358.1	7668	10273
X03553	X03553.1	7668	10280
Y00216	Y00216.1	7668	10281
Z15053	Z15053.1	7040	10282
X03947	X03947.1	200607	10283
X17315	X17315.1	7386	10284
X12772	X12772.1	7668	10295
X14534	X14534.1	7668	10296
X14535	X14535.1	7668	10298
X14536	X14536.1	7668	10300
X14537	X14537.1	7668	10302
X14538	X14538.1	7668	10304
X12773	X12773.1	7668	10305
X14539	X14539.1	7668	10306
X14540	X14540.1	7668	10308
X14541	X14541.1	7668	10310
X14542	X14542.1	7668	10312
X14543	X14543.1	7668	10314
X56630	X56630.1	7668	10325
X56629	X56629.1	7668	10326
X07085	X07085.1	7668	10327
X07502	X07502.1	7668	10329
X55127	X55127.1	6584	10334
X54115	X54115.1	7598	10338
X55125	X55125.1	6584	10341
X55192	X55192.1	7242	10345
X56471	X56471.1	7019	10347
X56472	X56472.1	7019	10348
X56473	X56473.1	7019	10349
X56474	X56474.1	7019	10350
X56475	X56475.1	7019	10351
X56476	X56476.1	7019	10352
X56477	X56477.1	7019	10353
X56478	X56478.1	7019	10354
X56479	X56479.1	7019	10355
X56484	X56484.1	7019	10356
X56480	X56480.1	7019	10357
X56485	X56485.1	7019	10358
X56481	X56481.1	7019	10359
X56482	X56482.1	7019	10360
X56483	X56483.1	7019	10361
X57253	X57253.1	10228	10362
X57691	X57691.1	10228	10367
X02427	X02427.1	5691	10376
X02426	X02426.1	5691	10377
X02428	X02428.1	5691	10378
X17350	X17350.1	5691	10394
X55978	X55978.1	5691	10395
X52586	X52586.1	5691	10397
X53472	X53472.1	5691	10406
V01386	V01386.1	5691	10414
X00194	X00194.1	5691	10421
X00040	X00040.1	5691	10427
X52119	X52119.1	5691	10434
X52120	X52120.1	5691	10436
X52121	X52121.1	5691	10438
X56766	X56766.1	5691	10447
X56765	X56765.1	5691	10449
X56768	X56768.1	5691	10451
X56767	X56767.1	5691	10453
X56769	X56769.1	5691	10455
X06638	X06638.1	5691	10466
X56761	X56761.2	5691	1112914076
X56762	X56762.1	5691	10470
X56763	X56763.1	5691	10472
X56764	X56764.1	5691	10474
X52585	X52585.1	5691	10478
X52584	X52584.1	5691	10480
X13492	X13492.1	5691	10502
X13491	X13491.1	5691	10504
X52745	X52745.1	5691	10506
X52746	X52746.1	5691	10508
X00683	X00683.1	5691	10518
X04986	X04986.1	5691	10519
X02483	X02483.1	5691	10520
X05682	X05682.1	5691	10527
X14553	X14553.1	5691	10528
X03581	X03581.1	5691	10536
X03582	X03582.1	5691	10537
X05683	X05683.1	5691	10539
Z11884	Z11884.1	5691	10550
Z11880	Z11880.1	5691	10551
X16590	X16590.1	5691	10553
X13017	X13017.1	5691	10565
X54641	X54641.1	5691	10566
X54642	X54642.1	5691	10568
X00466	X00466.1	5691	10572
X00467	X00467.1	5691	10573
X00935	X00935.1	5691	10584
X02715	X02715.1	5691	10587
X56598	X56598.1	5691	10590
Z11674	Z11674.1	5691	10591
Z11675	Z11675.1	5691	10593
Z11676	Z11676.1	5691	10594
X54414	X54414.1	5693	10605
X65025	X65025.1	5693	10629
X65065	X65065.1	5693	10633
X65066	X65066.1	5693	10641
X54479	X54479.1	5693	10646
X54474	X54474.1	5693	10647
X54475	X54475.1	5693	10648
X54476	X54476.1	5693	10649
X54477	X54477.1	5693	10650
X54478	X54478.1	5693	10651
X53546	X53546.1	5693	10654
X05769	X05769.1	5692	10659
X17643	X17643.1	5693	10664
X56456	X56456.1	5693	10669
X56457	X56457.1	5693	10670
X56458	X56458.1	5693	10671
X55540	X55540.1	5694	10679
X55541	X55541.1	5694	10680
X55537	X55537.1	5694	10681
X55534	X55534.1	5694	10682
X55536	X55536.1	5694	10683
X55535	X55535.1	5694	10684
X55538	X55538.1	5694	10685
X55539	X55539.1	5694	10686
X17158	X17158.1	5694	10687
X17159	X17159.1	5694	10688
X17157	X17157.1	5694	10689
X60228	X60228.1	5694	10692
X03809	X03809.1	5694	10698
X54889	X54889.1	7673	10711
X13146	X13146.1	7673	10715
X13147	X13147.1	7673	10717
X06346	X06346.1	31285	10728
X62296	X62296.1	31285	10729
X63459	X63459.1	7067	10748
X07801	X07801.1	7067	10756
X05195	X05195.1	5908	10765
X04204	X04204.1	5907	10773
X04205	X04205.1	5907	10774
X04209	X04209.1	5911	10775
X57143	X57143.1	6637	10776
X01533	X01533.1	5908	10778
V01412	V01412.1	5907	10781
X54004	X54004.1	5908	10782
X01693	X01693.1	5908	10783
X57264	X57264.1	5908	10784
V01413	V01413.1	5908	10785
X16643	X16643.1	5908	10788
X06625	X06625.1	6334	10802
X56981	X56981.1	5911	10804
X06462	X06462.1	5911	10806
X57037	X57037.1	5911	10810
X63528	X63528.1	5911	10811
X53790	X53790.1	5911	10820
X53988	X53988.1	5911	10824
X04497	X04497.1	5911	10825
X04498	X04498.1	5911	10826
X04496	X04496.1	5911	10827
X52646	X52646.1	5911	10828
X04206	X04206.1	5911	10830
X04207	X04207.1	5911	10831
X54512	X54512.1	5911	10832
X00305	X00305.1	5911	10833
X00475	X00475.1	5911	10834
X02366	X02366.1	5911	10836
X02364	X02364.1	5911	10837
V01416	V01416.1	5911	10840
X53789	X53789.1	6853	10841
X65863	X65863.1	5911	10842
X63790	X63790.1	5911	10850
X00998	X00998.1	6432	10867
X02974	X02974.2	7227	47232515
X52454	X52454.1	7227	10878
X53265	X53265.1	7375	10881
X53266	X53266.1	7375	10883
X53267	X53267.1	7375	10884
X53277	X53277.1	6239	10885
X53283	X53283.1	6494	10887
X53284	X53284.1	6494	10889
X53285	X53285.1	6494	10891
X53319	X53319.1	7091	10893
X53332	X53332.1	7227	10895
X55028	X55028.1	5759	10913
X55199	X55199.1	7227	10915
X55390	X55390.1	7241	10918
X55513	X55513.1	7151	10921
X55546	X55546.1	34676	10923
X70076	X70076.1	6661	11097
X70077	X70077.1	6661	11099
X70078	X70078.1	6661	11101
X70079	X70079.1	6661	11103
X70080	X70080.1	6661	11105
X70081	X70081.1	6661	11107
Z21875	Z21875.1	5691	11184
X67626	X67626.1	8822	11186
X67627	X67627.1	8823	11188
X58429	X58429.1	3267	11189
X64573	X64573.1	4151	11203
X67628	X67628.1	8824	11205
X55364	X55364.1	2767	11239
X58148	X58148.1	3702	11241
X66414	X66414.1	3702	11244
X58277	X58277.1	3708	11248
X14132	X14132.1	9913	11255
X64567	X64567.1	4179	11275
X67630	X67630.1	8787	11277
X63662	X63662.1	3322	11295
X64329	X64329.1	3847	11303
X62118	X62118.1	4481	11308
X05806	X05806.1	35845	11316
X15925	X15925.1	3551	11320
X62119	X62119.1	37682	11324
X54299	X54299.1	2767	11329
X03268	X03268.1	3712	11338
X52985	X52985.1	2771	11343
X57150	X57150.1	2771	11344
X54300	X54300.1	2771	11347
X12742	X12742.1	3072	11348
X04978	X04978.1	3072	11353
X05694	X05694.1	3072	11354
X05693	X05693.1	3072	11355
X15090	X15090.1	3072	11363
X15089	X15089.1	3072	11364
X02792	X02792.1	2762	11379
X02790	X02790.1	2762	11385
X02789	X02789.1	2762	11387
X53045	X53045.1	2762	11394
X16687	X16687.1	3055	11421
X03271	X03271.1	3055	11422
X16686	X16686.1	3055	11423
X00366	X00366.1	3055	11424
X00367	X00367.1	3055	11425
X00733	X00733.1	3055	11426
X60298	X60298.1	3055	11427
X17335	X17335.1	3055	11434
Z15133	Z15133.1	3055	11450
X12787	X12787.1	3396	11457
X54408	X54408.1	3055	11458
X54406	X54406.1	3055	11459
X54407	X54407.1	3055	11460
X56700	X56700.1	3055	11461
X16579	X16579.1	3077	11468
X00758	X00758.1	3288	11469
V00158	V00158.1	3039	11485
X13310	X13310.1	3039	11486
V00159	V00159.1	3039	11497
X17051	X17051.1	3039	11500
X00536	X00536.1	3039	11523
X03851	X03851.1	3039	11530
X61798	X61798.1	4177	11547
X51979	X51979.1	3311	11558
X63124	X63124.1	3635	11561
X00476	X00476.1	3847	11567
X00477	X00477.1	3847	11568
X16736	X16736.1	3847	11569
X07676	X07676.1	3847	11570
X07377	X07377.1	3847	11574
X55679	X55679.1	3847	11575
X00630	X00630.1	4513	11585
X06378	X06378.1	4513	11600
X06376	X06376.1	112509	11608
X00667	X00667.1	3203	11615
X02714	X02714.1	4472	11616
X54346	X54346.1	3415	11617
X54345	X54345.1	3410	11628
X00666	X00666.1	3197	11630
X51641	X51641.1	13816	11734
X12857	X12857.1	3879	11739
X52735	X52735.1	3151	11743
X52736	X52736.1	3151	11744
X61316	X61316.1	4088	11745
X61320	X61320.1	4092	11756
X13526	X13526.1	4092	11758
X03724	X03724.1	4097	11759
X61318	X61318.1	4093	11763
X61317	X61317.1	4094	11765
V00161	V00161.1	4097	11767
V00163	V00163.1	4097	11770
X00181	X00181.1	4097	11772
X00444	X00444.1	4097	11773
X00445	X00445.1	4097	11774
X00446	X00446.1	4097	11775
X00447	X00447.1	4097	11776
X01016	X01016.1	4097	11778
X01017	X01017.1	4097	11779
X12745	X12745.1	4097	11780
X06385	X06385.1	4097	11782
X00605	X00605.1	4097	11787
X61319	X61319.1	4097	11788
V00165	V00165.1	4097	11799
X02217	X02217.1	4097	11801
X03481	X03481.1	4097	11802
X01277	X01277.1	4097	11804
X03415	X03415.1	4097	11805
X07922	X07922.1	3950	11916
X07075	X07075.1	3950	11917
X53183	X53183.1	2986	11918
X15768	X15768.1	2829	11926
X61918	X61918.1	2829	11927
X07074	X07074.1	3951	11931
X51978	X51978.1	3285	11932
X12844	X12844.1	39947	11956
X54347	X54347.1	3435	12076
X06998	X06998.1	4543	12078
X53721	X53721.1	3339	12081
X53722	X53722.1	3339	12083
X56200	X56200.1	3339	12087
X03417	X03417.1	4102	12101
X03418	X03418.1	4102	12102
X65961	X65961.1	2832	12115
X16572	X16572.1	3357	12121
X16571	X16571.1	3357	12124
X59015	X59015.1	3888	12175
X55033	X55033.1	3888	12182
X04761	X04761.1	3888	12185
X05395	X05395.1	3888	12186
X17275	X17275.1	3885	12201
X01120	X01120.1	4032	12202
X05551	X05551.1	4032	12203
X13327	X13327.1	4550	12224
X13326	X13326.1	4550	12230
X14811	X14811.1	4550	12235
X14556	X14556.1	4550	12237
X14557	X14557.1	4550	12239
X52738	X52738.1	3180	12241
X52739	X52739.1	3180	12242
X00216	X00216.1	3562	12288
X00217	X00217.1	3562	12289
X04491	X04491.1	3562	12292
V00169	V00169.1	3562	12294
X00012	X00012.1	50518	12295
X00013	X00013.1	50518	12296
X00014	X00014.1	50518	12297
X00015	X00015.1	50518	12298
X04977	X04977.1	3562	12299
X05876	X05876.1	3562	12301
X00764	X00764.1	50518	12305
X00765	X00765.1	50518	12306
X04508	X04508.1	50518	12314
X59270	X59270.1	3562	12315
Y00125	Y00125.1	3562	12322
X62117	X62117.1	4565	12343
X07741	X07741.1	4565	12348
X07379	X07379.1	4565	12374
X02805	X02805.1	4565	12377
X05603	X05603.1	4565	12378
X01167	X01167.1	3906	12383
V00173	V00173.1	4577	12396
V00174	V00174.1	4577	12397
V00175	V00175.1	4577	12398
V00176	V00176.1	4577	12399
V00177	V00177.1	4577	12400
X01365	X01365.1	4577	12401
X03396	X03396.1	4577	12404
X58080	X58080.1	4577	12429
X52614	X52614.1	4577	12443
X03034	X03034.1	4577	12445
X12848	X12848.1	4577	12446
X56673	X56673.1	4577	12448
X07412	X07412.1	4577	12472
X04184	X04184.1	4577	12473
X04183	X04183.1	4577	12474
X05055	X05055.1	4577	12475
X05296	X05296.1	4580	12476
X05295	X05295.1	4580	12477
X15601	X15601.1	3054	12484
X64572	X64572.1	4166	12489
X65688	X65688.1	3075	12493
X07925	X07925.1	2762	12494
X07924	X07924.1	2762	12495
X14962	X14962.1	3885	12496
X62905	X62905.1	3055	12497
X55320	X55320.1	3055	12501
X55321	X55321.1	3055	12502
X57744	X57744.1	3055	12517
X60365	X60365.1	3055	12524
X55319	X55319.1	3055	12536
X69803	X69803.1	4129	12537
X14063	X14063.1	3057	12542
X65689	X65689.1	3076	12547
X53506	X53506.1	7227	12552
X67632	X67632.1	8818	12553
X67633	X67633.1	8790	12554
X64574	X64574.1	4164	12555
X64304	X64304.1	9790	12556
X64306	X64306.1	9790	12558
X64305	X64305.1	9796	12559
X64307	X64307.1	9796	12561
X67638	X67638.1	8805	12568
X65484	X65484.1	3039	12569
X16401	X16401.1	9031	12573
X16402	X16402.1	9031	12574
X16403	X16403.1	9031	12575
X15844	X15844.1	4232	12580
Z11549	Z11549.1	5665	12598
Z11550	Z11550.1	5665	12599
Z11551	Z11551.1	5665	12600
Z11552	Z11552.1	5665	12601
Z11553	Z11553.1	5665	12602
Z11555	Z11555.1	5665	12603
Z11554	Z11554.1	5665	12604
Z11556	Z11556.1	5665	12605
Z15118	Z15118.1	5691	12606
X54470	X54470.1	5660	12607
